v8-version,8,4,371,22,0
code-creation,Builtin,3,175419,0x7ff61e2eb080,1656,RecordWrite
code-creation,Builtin,3,175532,0x7ff61e2eb700,432,EphemeronKeyBarrier
code-creation,Builtin,3,175583,0x7ff61e2eb8c0,48,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,175634,0x7ff61e2eb900,301,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,175709,0x7ff61e2eba40,224,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,175762,0x7ff61e2ebb40,275,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,175813,0x7ff61e2ebc60,316,CallFunction_ReceiverIsAny
code-creation,Builtin,3,175863,0x7ff61e2ebda0,172,CallBoundFunction
code-creation,Builtin,3,175911,0x7ff61e2ebe60,117,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,175961,0x7ff61e2ebee0,117,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,176327,0x7ff61e2ebf60,117,Call_ReceiverIsAny
code-creation,Builtin,3,176351,0x7ff61e2ebfe0,890,CallProxy
code-creation,Builtin,3,176368,0x7ff61e2ec360,84,CallVarargs
code-creation,Builtin,3,176384,0x7ff61e2ec3c0,1104,CallWithSpread
code-creation,Builtin,3,176409,0x7ff61e2ec820,986,CallWithArrayLike
code-creation,Builtin,3,176426,0x7ff61e2ecc00,103,CallForwardVarargs
code-creation,Builtin,3,176443,0x7ff61e2ecc80,103,CallFunctionForwardVarargs
code-creation,Builtin,3,176461,0x7ff61e2ecd00,177,CallFunctionTemplate_CheckAccess
code-creation,Builtin,3,176480,0x7ff61e2ecdc0,277,CallFunctionTemplate_CheckCompatibleReceiver
code-creation,Builtin,3,176500,0x7ff61e2ecee0,394,CallFunctionTemplate_CheckAccessAndCompatibleReceiver
code-creation,Builtin,3,176520,0x7ff61e2ed080,31,ConstructFunction
code-creation,Builtin,3,176537,0x7ff61e2ed0a0,172,ConstructBoundFunction
code-creation,Builtin,3,176555,0x7ff61e2ed160,28,ConstructedNonConstructable
code-creation,Builtin,3,176572,0x7ff61e2ed180,98,Construct
code-creation,Builtin,3,176589,0x7ff61e2ed200,84,ConstructVarargs
code-creation,Builtin,3,176606,0x7ff61e2ed260,1128,ConstructWithSpread
code-creation,Builtin,3,176623,0x7ff61e2ed6e0,1076,ConstructWithArrayLike
code-creation,Builtin,3,176641,0x7ff61e2edb20,144,ConstructForwardVarargs
code-creation,Builtin,3,176659,0x7ff61e2edbc0,144,ConstructFunctionForwardVarargs
code-creation,Builtin,3,176677,0x7ff61e2edc60,349,JSConstructStubGeneric
code-creation,Builtin,3,176695,0x7ff61e2eddc0,248,JSBuiltinsConstructStub
code-creation,Builtin,3,176712,0x7ff61e2edec0,767,FastNewObject
code-creation,Builtin,3,176729,0x7ff61e2ee1c0,309,FastNewClosure
code-creation,Builtin,3,176746,0x7ff61e2ee300,213,FastNewFunctionContextEval
code-creation,Builtin,3,176764,0x7ff61e2ee3e0,213,FastNewFunctionContextFunction
code-creation,Builtin,3,176782,0x7ff61e2ee4c0,242,CreateRegExpLiteral
code-creation,Builtin,3,176799,0x7ff61e2ee5c0,562,CreateEmptyArrayLiteral
code-creation,Builtin,3,176817,0x7ff61e2ee800,1164,CreateShallowArrayLiteral
code-creation,Builtin,3,176835,0x7ff61e2eeca0,1952,CreateShallowObjectLiteral
code-creation,Builtin,3,176852,0x7ff61e2ef460,874,ConstructProxy
code-creation,Builtin,3,176869,0x7ff61e2ef7e0,356,JSEntry
code-creation,Builtin,3,176884,0x7ff61e2ef960,356,JSConstructEntry
code-creation,Builtin,3,176901,0x7ff61e2efae0,356,JSRunMicrotasksEntry
code-creation,Builtin,3,176918,0x7ff61e2efc60,99,JSEntryTrampoline
code-creation,Builtin,3,176935,0x7ff61e2efce0,99,JSConstructEntryTrampoline
code-creation,Builtin,3,176953,0x7ff61e2efd60,338,ResumeGeneratorTrampoline
code-creation,Builtin,3,176971,0x7ff61e2efec0,1172,StringCodePointAt
code-creation,Builtin,3,176988,0x7ff61e2f0360,1699,StringFromCodePointAt
code-creation,Builtin,3,177005,0x7ff61e2f0a20,576,StringEqual
code-creation,Builtin,3,177022,0x7ff61e2f0c80,308,StringGreaterThan
code-creation,Builtin,3,177039,0x7ff61e2f0dc0,308,StringGreaterThanOrEqual
code-creation,Builtin,3,177057,0x7ff61e2f0f00,1157,StringIndexOf
code-creation,Builtin,3,177073,0x7ff61e2f13a0,308,StringLessThan
code-creation,Builtin,3,177090,0x7ff61e2f14e0,308,StringLessThanOrEqual
code-creation,Builtin,3,177108,0x7ff61e2f1620,2711,StringSubstring
code-creation,Builtin,3,177124,0x7ff61e2f20c0,88,OrderedHashTableHealIndex
code-creation,Builtin,3,177223,0x7ff61e2f2120,940,InterpreterEntryTrampoline
code-creation,Builtin,3,177246,0x7ff61e2f24e0,77,InterpreterPushArgsThenCall
code-creation,Builtin,3,177264,0x7ff61e2f2540,86,InterpreterPushUndefinedAndArgsThenCall
code-creation,Builtin,3,177284,0x7ff61e2f25a0,80,InterpreterPushArgsThenCallWithFinalSpread
code-creation,Builtin,3,177304,0x7ff61e2f2600,77,InterpreterPushArgsThenConstruct
code-creation,Builtin,3,177322,0x7ff61e2f2660,77,InterpreterPushArgsThenConstructArrayFunction
code-creation,Builtin,3,177342,0x7ff61e2f26c0,80,InterpreterPushArgsThenConstructWithFinalSpread
code-creation,Builtin,3,177362,0x7ff61e2f2720,224,InterpreterEnterBytecodeAdvance
code-creation,Builtin,3,177380,0x7ff61e2f2820,90,InterpreterEnterBytecodeDispatch
code-creation,Builtin,3,177399,0x7ff61e2f2880,54,InterpreterOnStackReplacement
code-creation,Builtin,3,177417,0x7ff61e2f28c0,1097,CompileLazy
code-creation,Builtin,3,177433,0x7ff61e2f2d20,104,CompileLazyDeoptimizedCode
code-creation,Builtin,3,177451,0x7ff61e2f2da0,257,InstantiateAsmJs
code-creation,Builtin,3,177468,0x7ff61e2f2ec0,32,NotifyDeoptimized
code-creation,Builtin,3,177485,0x7ff61e2f2f00,48,ContinueToCodeStubBuiltin
code-creation,Builtin,3,177503,0x7ff61e2f2f40,56,ContinueToCodeStubBuiltinWithResult
code-creation,Builtin,3,177522,0x7ff61e2f2f80,54,ContinueToJavaScriptBuiltin
code-creation,Builtin,3,177540,0x7ff61e2f2fc0,62,ContinueToJavaScriptBuiltinWithResult
code-creation,Builtin,3,177559,0x7ff61e2f3000,290,CallApiCallback
code-creation,Builtin,3,177576,0x7ff61e2f3140,286,CallApiGetter
code-creation,Builtin,3,177592,0x7ff61e2f3260,12,HandleApiCall
code-creation,Builtin,3,177608,0x7ff61e2f3280,12,HandleApiCallAsFunction
code-creation,Builtin,3,177626,0x7ff61e2f32a0,12,HandleApiCallAsConstructor
code-creation,Builtin,3,177644,0x7ff61e2f32c0,64,AllocateInYoungGeneration
code-creation,Builtin,3,177662,0x7ff61e2f3320,60,AllocateRegularInYoungGeneration
code-creation,Builtin,3,177680,0x7ff61e2f3360,64,AllocateInOldGeneration
code-creation,Builtin,3,177698,0x7ff61e2f33c0,60,AllocateRegularInOldGeneration
code-creation,Builtin,3,177716,0x7ff61e2f3400,500,CopyFastSmiOrObjectElements
code-creation,Builtin,3,177734,0x7ff61e2f3600,575,GrowFastDoubleElements
code-creation,Builtin,3,177752,0x7ff61e2f3840,458,GrowFastSmiOrObjectElements
code-creation,Builtin,3,177770,0x7ff61e2f3a20,393,NewArgumentsElements
code-creation,Builtin,3,177787,0x7ff61e2f3bc0,520,DebugBreakTrampoline
code-creation,Builtin,3,177804,0x7ff61e2f3de0,152,FrameDropperTrampoline
code-creation,Builtin,3,177822,0x7ff61e2f3e80,45,HandleDebuggerStatement
code-creation,Builtin,3,177839,0x7ff61e2f3ec0,254,ToObject
code-creation,Builtin,3,177856,0x7ff61e2f3fc0,112,ToBoolean
code-creation,Builtin,3,177872,0x7ff61e2f4040,273,OrdinaryToPrimitive_Number
code-creation,Builtin,3,177890,0x7ff61e2f4160,273,OrdinaryToPrimitive_String
code-creation,Builtin,3,177908,0x7ff61e2f4280,219,NonPrimitiveToPrimitive_Default
code-creation,Builtin,3,177927,0x7ff61e2f4360,219,NonPrimitiveToPrimitive_Number
code-creation,Builtin,3,177945,0x7ff61e2f4440,219,NonPrimitiveToPrimitive_String
code-creation,Builtin,3,177963,0x7ff61e2f4520,81,StringToNumber
code-creation,Builtin,3,177980,0x7ff61e2f4580,133,ToName
code-creation,Builtin,3,177995,0x7ff61e2f4620,235,NonNumberToNumber
code-creation,Builtin,3,178012,0x7ff61e2f4720,255,NonNumberToNumeric
code-creation,Builtin,3,178029,0x7ff61e2f4820,235,ToNumber
code-creation,Builtin,3,178046,0x7ff61e2f4920,268,ToNumberConvertBigInt
code-creation,Builtin,3,178063,0x7ff61e2f4a40,275,ToNumeric
code-creation,Builtin,3,178079,0x7ff61e2f4b60,285,NumberToString
code-creation,Builtin,3,178096,0x7ff61e2f4c80,390,ToLength
code-creation,Builtin,3,178112,0x7ff61e2f4e20,144,Typeof
